Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Price,Product Status,shipping date (DateOrders),Shipping Mode,Product Name,Index
DEBIT,2,1,32.03,283.48,Late delivery,1,43,Camping & Hiking,Bend,EE. UU.,XXXXXXXXX,Mary,123,Mann,XXXXXXXXX,Corporate,OR,7676 Colonial Towers,97701,7,Fan Shop,44.06,-12.13,Europe,Ustinad Labem,Republic checa,123,42560,42158,957,16.5,0.06,105279,299.98,0.11,1,299.98,283.48,32.03,Eastern Europe,ON_HOLD,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,299.98,0,42622.39444,First Class,Diamondback Women's Serene Classic Comfort Bi,0
DEBIT,2,1,66.4,278.98,Late delivery,1,43,Camping & Hiking,Bend,EE. UU.,XXXXXXXXX,Mary,123,Mann,XXXXXXXXX,Corporate,OR,7676 Colonial Towers,97701,7,Fan Shop,44.06,-12.13,Europe,Ustinad Labem,Republic checa,123,42560,42158,957,21,0.07,105278,299.98,0.24,1,299.98,278.98,66.4,Eastern Europe,ON_HOLD,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,299.98,0,42622.39444,First Class,Diamondback Women's Serene Classic Comfort Bi,1
DEBIT,2,1,26.98,83,Late delivery,1,24,Women's Apparel,Bend,EE. UU.,XXXXXXXXX,Mary,123,Mann,XXXXXXXXX,Corporate,OR,7676 Colonial Towers,97701,5,Golf,44.06,-12.13,Europe,Ustinad Labem,Republic checa,123,42560,42158,502,17,0.17,105280,50,0.33,2,100,83,26.98,Eastern Europe,ON_HOLD,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,50,0,42622.39444,First Class,Nike Men's Dri-FIT Victory Golf Polo,2
DEBIT,3,2,18.97,55.79,Late delivery,1,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Ann,7455,Smith,XXXXXXXXX,Corporate,PR,9775 Middle River Townline,725,4,Apparel,18.22,-66.37,Europe,Ustinad Labem,Republic checa,7455,43040,50767,365,4.199999809,0.07,126871,59.99,0.34,1,59.99,55.79,18.97,Eastern Europe,ON_HOLD,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,59.99,0,42749.06597,Second Class,Perfect Fitness Perfect Rip Deck,3
DEBIT,3,2,68.85,254.98,Late delivery,1,43,Camping & Hiking,Caguas,Puerto Rico,XXXXXXXXX,Ann,7455,Smith,XXXXXXXXX,Corporate,PR,9775 Middle River Townline,725,7,Fan Shop,18.22,-66.37,Europe,Ustinad Labem,Republic checa,7455,43040,50767,957,45,0.15,126874,299.98,0.27,1,299.98,254.98,68.85,Eastern Europe,ON_HOLD,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,299.98,0,42749.06597,Second Class,Diamondback Women's Serene Classic Comfort Bi,4
DEBIT,3,2,49.89,113.38,Late delivery,1,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Ann,7455,Smith,XXXXXXXXX,Corporate,PR,9775 Middle River Townline,725,4,Apparel,18.22,-66.37,Europe,Ustinad Labem,Republic checa,7455,43040,50767,365,6.599999905,0.06,126873,59.99,0.44,2,119.98,113.38,49.89,Eastern Europe,ON_HOLD,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,59.99,0,42749.06597,Second Class,Perfect Fitness Perfect Rip Deck,5
DEBIT,3,2,33.47,111.58,Late delivery,1,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Ann,7455,Smith,XXXXXXXXX,Corporate,PR,9775 Middle River Townline,725,4,Apparel,18.22,-66.37,Europe,Ustinad Labem,Republic checa,7455,43040,50767,365,8.399999619,0.07,126872,59.99,0.3,2,119.98,111.58,33.47,Eastern Europe,ON_HOLD,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,59.99,0,42749.06597,Second Class,Perfect Fitness Perfect Rip Deck,6
DEBIT,2,1,22.6,199.99,Late delivery,1,48,Water Sports,Bend,EE. UU.,XXXXXXXXX,Mary,123,Mann,XXXXXXXXX,Corporate,OR,7676 Colonial Towers,97701,7,Fan Shop,44.06,-12.13,Europe,Ustinad Labem,Republic checa,123,42560,42158,1073,0,0,105277,199.99,0.11,1,199.99,199.99,22.6,Eastern Europe,ON_HOLD,,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,199.99,0,42622.39444,First Class,Pelican Sunstream 100 Kayak,7
DEBIT,6,4,25.19,83.97,Late delivery,1,46,Indoor/Outdoor Games,Modesto,EE. UU.,XXXXXXXXX,Danielle,315,Hampton,XXXXXXXXX,Home Office,CA,1846 Cotton Oak Parkway,95350,7,Fan Shop,37.67,-121.03,Europe,Ustinad Labem,Republic checa,315,43040,50770,1014,15.98999977,0.16,126879,49.98,0.3,2,99.96,83.97,25.19,Eastern Europe,COMPLETE,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,49.98,0,42752.10972,Standard Class,O'Brien Men's Neoprene Life Vest,8
PAYMENT,5,4,-371.85,239.9,Late delivery,1,46,Indoor/Outdoor Games,Brooklyn,EE. UU.,XXXXXXXXX,Laura,4959,Baldwin,XXXXXXXXX,Home Office,NY,226 Rustic Highlands,11218,7,Fan Shop,40.67,-73.95,Europe,Ustinad Labem,Republic checa,4959,43040,50769,1014,10,0.04,126878,49.98,-1.55,5,249.9,239.9,-371.85,Eastern Europe,PENDING_PAYMENT,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,49.98,0,42751.09514,Standard Class,O'Brien Men's Neoprene Life Vest,9
PAYMENT,5,4,2.83,141.69,Late delivery,1,46,Indoor/Outdoor Games,Brooklyn,EE. UU.,XXXXXXXXX,Laura,4959,Baldwin,XXXXXXXXX,Home Office,NY,226 Rustic Highlands,11218,7,Fan Shop,40.67,-73.95,Europe,Ustinad Labem,Republic checa,4959,43040,50769,1014,8.25,0.06,126877,49.98,0.02,3,149.94,141.69,2.83,Eastern Europe,PENDING_PAYMENT,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,49.98,0,42751.09514,Standard Class,O'Brien Men's Neoprene Life Vest,10
PAYMENT,5,4,49.86,237.41,Late delivery,1,46,Indoor/Outdoor Games,Brooklyn,EE. UU.,XXXXXXXXX,Laura,4959,Baldwin,XXXXXXXXX,Home Office,NY,226 Rustic Highlands,11218,7,Fan Shop,40.67,-73.95,Europe,Ustinad Labem,Republic checa,4959,43040,50769,1014,12.5,0.05,126875,49.98,0.21,5,249.9,237.41,49.86,Eastern Europe,PENDING_PAYMENT,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,49.98,0,42751.09514,Standard Class,O'Brien Men's Neoprene Life Vest,11
DEBIT,6,4,98.6,339.98,Late delivery,1,45,Fishing,Modesto,EE. UU.,XXXXXXXXX,Danielle,315,Hampton,XXXXXXXXX,Home Office,CA,1846 Cotton Oak Parkway,95350,7,Fan Shop,37.67,-121.03,Europe,Ustinad Labem,Republic checa,315,43040,50770,1004,60,0.15,126880,399.98,0.29,1,399.98,339.98,98.6,Eastern Europe,COMPLETE,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,399.98,0,42752.10972,Standard Class,Field & Stream Sportsman 16 Gun Fire Safe,12
PAYMENT,5,4,24.94,56.69,Late delivery,1,17,Cleats,Brooklyn,EE. UU.,XXXXXXXXX,Laura,4959,Baldwin,XXXXXXXXX,Home Office,NY,226 Rustic Highlands,11218,4,Apparel,40.67,-73.95,Europe,Ustinad Labem,Republic checa,4959,43040,50769,365,3.299999952,0.06,126876,59.99,0.44,1,59.99,56.69,24.94,Eastern Europe,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,59.99,0,42751.09514,Standard Class,Perfect Fitness Perfect Rip Deck,13
TRANSFER,3,2,33.69,76.56,Late delivery,1,7,Hockey,Lombard,EE. UU.,XXXXXXXXX,Victoria,12355,Smith,XXXXXXXXX,Consumer,IL,8569 Emerald Blossom Concession,60148,2,Fitness,41.85,-88.01,Africa,Mbandaka,Republica Democratica del Congo,12355,42715,46687,135,11.43999958,0.13,116725,22,0.44,4,88,76.56,33.69,Central Africa,PROCESSING,,135,7,,http://images.acmesports.sports/Nike+Dri-FIT+Crew+Sock+6+Pack,22,0,42689.50764,Second Class,Nike Dri-FIT Crew Sock 6 Pack,14
DEBIT,6,4,11.44,114.39,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,XXXXXXXXX,Jacqueline,754,Smith,XXXXXXXXX,Consumer,PR,529 Blue Grove Rise,725,4,Apparel,18.23,-66.05,Africa,Mbandaka,Republica Democratica del Congo,754,42715,46690,403,15.60000038,0.12,116736,129.99,0.1,1,129.99,114.39,11.44,Central Africa,COMPLETE,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,129.99,0,42692.55139,Standard Class,Nike Men's CJ Elite 2 TD Football Cleat,15
DEBIT,6,4,42.41,113.09,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,XXXXXXXXX,Jacqueline,754,Smith,XXXXXXXXX,Consumer,PR,529 Blue Grove Rise,725,4,Apparel,18.23,-66.05,Africa,Mbandaka,Republica Democratica del Congo,754,42715,46690,403,16.89999962,0.13,116734,129.99,0.38,1,129.99,113.09,42.41,Central Africa,COMPLETE,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,129.99,0,42692.55139,Standard Class,Nike Men's CJ Elite 2 TD Football Cleat,16
CASH,0,0,21.75,217.5,Shipping on time,0,24,Women's Apparel,Longmont,EE. UU.,XXXXXXXXX,Roger,11068,Smith,XXXXXXXXX,Consumer,CO,2088 Misty Woods,80501,5,Golf,40.19,-105.1,Africa,Mbandaka,Republica Democratica del Congo,11068,,42544,502,32.5,0.13,106205,50,0.1,5,250,217.5,21.75,Central Africa,CLOSED,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,50,0,42626.52917,Same Day,Nike Men's Dri-FIT Victory Golf Polo,17
PAYMENT,2,2,38.22,109.19,Shipping on time,0,18,Men's Footwear,Chicago,EE. UU.,XXXXXXXXX,Michael,763,Carpenter,XXXXXXXXX,Consumer,IL,3329 Green Butterfly Pines,60638,4,Apparel,41.9,-87.71,Africa,Mbandaka,Republica Democratica del Congo,763,42715,46686,403,20.79999924,0.16,116722,129.99,0.35,1,129.99,109.19,38.22,Central Africa,PENDING_PAYMENT,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,129.99,0,42688.49306,Second Class,Nike Men's CJ Elite 2 TD Football Cleat,18
